logz logzerr logvol nlive logl logwt
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -2.206362563559176124e+04 -2.206961834987845214e+04
-2.206961834987845214e+04 nan -2.500000000000000052e-03 4.000000000000000000e+02 -2.054626942695369871e+04 -2.055226464124038830e+04
-2.055226464124038830e+04 6.568363104957154519e+02 -5.000000000000000104e-03 4.000000000000000000e+02 -2.005364029799215859e+04 -2.005963801227885051e+04
-2.005963801227885051e+04 2.429243954585308813e+02 -7.499999999999999722e-03 4.000000000000000000e+02 -1.927692306533938245e+04 -1.928292327962607305e+04
-1.928292327962607305e+04 4.920823198769766691e+02 -1.000000000000000021e-02 4.000000000000000000e+02 -1.837247486928321814e+04 -1.837847758356991108e+04
-1.837847758356991108e+04 5.073099161391688199e+02 -1.250000000000000069e-02 4.000000000000000000e+02 -1.809285295121002127e+04 -1.809885816549671290e+04
-1.809885816549671290e+04 1.213785311159855524e+02 -1.500000000000000118e-02 4.000000000000000000e+02 -1.753690857355016124e+04 -1.754291628783685155e+04
-1.754291628783685155e+04 1.533325880638154786e+02 -1.750000000000000167e-02 4.000000000000000000e+02 -1.673312171476345975e+04 -1.673913192905015239e+04
-1.673913192905015239e+04 3.794641077245076417e+02 -2.000000000000000042e-02 4.000000000000000000e+02 -1.617242403701261719e+04 -1.617843675129930853e+04
-1.617843675129930853e+04 4.787062347069331167e+02 -2.249999999999999917e-02 4.000000000000000000e+02 -1.607383974365582435e+04 -1.607985495794251619e+04
-1.607985495794251619e+04 4.209840253352343211e+02 -2.499999999999999792e-02 4.000000000000000000e+02 -1.601785768763043598e+04 -1.602387540191712651e+04
-1.602387540191712651e+04 4.173575928378596132e+02 -2.749999999999999667e-02 4.000000000000000000e+02 -1.515145507827503388e+04 -1.515747529256172493e+04
-1.515747529256172493e+04 6.909943230834669521e+02 -2.999999999999999542e-02 4.000000000000000000e+02 -1.456330247327271354e+04 -1.456932518755940509e+04
-1.456932518755940509e+04 9.002533172118131688e+02 -3.249999999999999417e-02 4.000000000000000000e+02 -1.425739674233894220e+04 -1.426342195662563427e+04
-1.426342195662563427e+04 5.249354103832512237e+02 -3.499999999999999639e-02 4.000000000000000000e+02 -1.418391950139498840e+04 -1.418994721568167915e+04
-1.418994721568167915e+04 2.621592525240922669e+02 -3.749999999999999861e-02 4.000000000000000000e+02 -1.401420662139374326e+04 -1.402023683568043452e+04
-1.402023683568043452e+04 3.139376607687601677e+02 -4.000000000000000083e-02 4.000000000000000000e+02 -1.367569758104664470e+04 -1.368173029533333647e+04
-1.368173029533333647e+04 1.889032386856459595e+02 -4.250000000000000305e-02 4.000000000000000000e+02 -1.356488781943604226e+04 -1.357092303372273273e+04
-1.357092303372273273e+04 1.257561888405297168e+02 -4.500000000000000527e-02 4.000000000000000000e+02 -1.351860780444417287e+04 -1.352464551873086384e+04
-1.352464551873086384e+04 4.411882258856216055e+01 -4.750000000000000749e-02 4.000000000000000000e+02 -1.340355783519320903e+04 -1.340959804947990051e+04
