logz logzerr logvol nlive logl logwt
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -2.851386706310872614e+04 -2.851985977739541704e+04
-2.851985977739541704e+04 nan -2.500000000000000052e-03 4.000000000000000000e+02 -2.585937920561746432e+04 -2.586537441990415391e+04
-2.586537441990415391e+04 nan -5.000000000000000104e-03 4.000000000000000000e+02 -2.453626164740683816e+04 -2.454225936169353008e+04
-2.454225936169353008e+04 1.414905465653496321e+03 -7.499999999999999722e-03 4.000000000000000000e+02 -2.358176840164183886e+04 -2.358776861592852947e+04
-2.358776861592852947e+04 1.537039456943700316e+03 -1.000000000000000021e-02 4.000000000000000000e+02 -2.353058197270173332e+04 -2.353658468698842626e+04
-2.353658468698842626e+04 6.389375066787274591e+02 -1.250000000000000069e-02 4.000000000000000000e+02 -2.265424948862295059e+04 -2.266025470290964222e+04
-2.266025470290964222e+04 3.947434885994402975e+02 -1.500000000000000118e-02 4.000000000000000000e+02 -2.222350756761831144e+04 -2.222951528190500176e+04
-2.222951528190500176e+04 3.814733099171502317e+02 -1.750000000000000167e-02 4.000000000000000000e+02 -2.162734021073339682e+04 -2.163335042502008946e+04
-2.163335042502008946e+04 3.488498405087125889e+02 -2.000000000000000042e-02 4.000000000000000000e+02 -2.134484425500742509e+04 -2.135085696929411642e+04
-2.135085696929411642e+04 2.519579754511975409e+02 -2.249999999999999917e-02 4.000000000000000000e+02 -2.052704753567561784e+04 -2.053306274996230786e+04
-2.053306274996230786e+04 5.625677395455862779e+02 -2.499999999999999792e-02 4.000000000000000000e+02 -1.985082757168109674e+04 -1.985684528596778910e+04
-1.985684528596778910e+04 5.055811276841193944e+02 -2.749999999999999667e-02 4.000000000000000000e+02 -1.969167587517201900e+04 -1.969769608945871005e+04
-1.969769608945871005e+04 2.310817143623318657e+02 -2.999999999999999542e-02 4.000000000000000000e+02 -1.903456327429380326e+04 -1.904058598858049299e+04
-1.904058598858049299e+04 2.842663219247355642e+02 -3.249999999999999417e-02 4.000000000000000000e+02 -1.835397132987582518e+04 -1.835999654416251724e+04
-1.835999654416251724e+04 1.272219731803699849e+00 -3.499999999999999639e-02 4.000000000000000000e+02 -1.818739955546009878e+04 -1.819342726974678953e+04
-1.819342726974678953e+04 8.390001247764958237e+01 -3.749999999999999861e-02 4.000000000000000000e+02 -1.818501795564500571e+04 -1.819104816993169879e+04
-1.819095957870298298e+04 4.747151233764923006e+01 -4.000000000000000083e-02 4.000000000000000000e+02 -1.812812381271107370e+04 -1.813415652699776547e+04
-1.813415652699776547e+04 2.802036848500546995e+01 -4.250000000000000305e-02 4.000000000000000000e+02 -1.801772187359823874e+04 -1.802375708788492921e+04
-1.802375708788492921e+04 6.736695471531299972e+01 -4.500000000000000527e-02 4.000000000000000000e+02 -1.779128990482953304e+04 -1.779732761911622583e+04
-1.779732761911622583e+04 1.397436513846967330e+02 -4.750000000000000749e-02 4.000000000000000000e+02 -1.752972794530976535e+04 -1.753576815959645683e+04
-1.753576815959645683e+04 1.621812123304933664e+02 -5.000000000000000971e-02 4.000000000000000000e+02 -1.738840772775331425e+04 -1.739445044204000442e+04
-1.739445044204000442e+04 1.498712015189363456e+02 -5.250000000000001193e-02 4.000000000000000000e+02 -1.736220231559422973e+04 -1.736824752988092223e+04
-1.736824752988091859e+04 4.530598574014556590e+01 -5.500000000000001416e-02 4.000000000000000000e+02 -1.725781025940683685e+04 -1.726385797369352804e+04
-1.726385797369352804e+04 4.951452939247419494e+01 -5.750000000000001638e-02 4.000000000000000000e+02 -1.712466452570239198e+04 -1.713071473998908186e+04
-1.713071473998908186e+04 9.502055608319248847e+01 -6.000000000000001860e-02 4.000000000000000000e+02 -1.664123396751700784e+04 -1.664728668180370005e+04
-1.664728668180370005e+04 2.824629670979570051e+02 -6.250000000000001388e-02 4.000000000000000000e+02 -1.648401937876602460e+04 -1.649007459305271550e+04
-1.649007459305271550e+04 1.787526897966976094e+02 -6.500000000000001610e-02 4.000000000000000000e+02 -1.645525346870831709e+04 -1.646131118299500667e+04
-1.646131118299500667e+04 1.327531509309965152e+01 -6.750000000000001832e-02 4.000000000000000000e+02 -1.621460752930656963e+04 -1.622066774359326155e+04
-1.622066774359326155e+04 1.231926338923099422e+02 -7.000000000000002054e-02 4.000000000000000000e+02 -1.620109994789439952e+04 -1.620716266218109013e+04
-1.620716266081708090e+04 1.085846153838011503e+02 -7.250000000000002276e-02 4.000000000000000000e+02 -1.610257514001818527e+04 -1.610864035430487638e+04
-1.610864035430487638e+04 9.945993496352963348e+01 -7.500000000000002498e-02 4.000000000000000000e+02 -1.594101625855433667e+04 -1.594708397284102830e+04
-1.594708397284102830e+04 6.970600231863069496e+01 -7.750000000000002720e-02 4.000000000000000000e+02 -1.564536786520492205e+04 -1.565143807949161419e+04
-1.565143807949161419e+04 1.778756274010938512e+02 -8.000000000000002942e-02 4.000000000000000000e+02 -1.550355311178975353e+04 -1.550962582607644435e+04
-1.550962582607644435e+04 1.815097904459774441e+02 -8.250000000000003164e-02 4.000000000000000000e+02 -1.525372497263782316e+04 -1.525980018692451449e+04
-1.525980018692451449e+04 1.580432438205702965e+02 -8.500000000000003386e-02 4.000000000000000000e+02 -1.515835189350220571e+04 -1.516442960778889756e+04
-1.516442960778889756e+04 4.543123676031583358e+01 -8.750000000000003608e-02 4.000000000000000000e+02 -1.511579349321360678e+04 -1.512187370750029731e+04
-1.512187370750029731e+04 2.038036333674249079e+01 -9.000000000000003830e-02 4.000000000000000000e+02 -1.488791806092983097e+04 -1.489400077521652202e+04
-1.489400077521652202e+04 1.111811828070379988e+02 -9.250000000000004052e-02 4.000000000000000000e+02 -1.481294049146048746e+04 -1.481902570574717902e+04
-1.481902570574717902e+04 3.633920303502063121e+01 -9.500000000000004274e-02 4.000000000000000000e+02 -1.472402677035139823e+04 -1.473011448463809029e+04
-1.473011448463809029e+04 6.364213457678597763e+01 -9.750000000000004496e-02 4.000000000000000000e+02 -1.445089760728601141e+04 -1.445698782157270216e+04
-1.445698782157270216e+04 1.412629878498885319e+02 -1.000000000000000472e-01 4.000000000000000000e+02 -1.431468765138193339e+04 -1.432078036566862465e+04
-1.432078036566862465e+04 1.396542514859656876e+02 -1.025000000000000494e-01 4.000000000000000000e+02 -1.429602263414759727e+04 -1.430211784843428904e+04
-1.430211784842643647e+04 5.697664907888044183e+01 -1.050000000000000516e-01 4.000000000000000000e+02 -1.416473970940955405e+04 -1.417083742369624451e+04
-1.417083742369624451e+04 6.464036938135706123e+01 -1.075000000000000538e-01 4.000000000000000000e+02 -1.385872741170554218e+04 -1.386482762599223315e+04
-1.386482762599223315e+04 1.937699634085561797e+02 -1.100000000000000561e-01 4.000000000000000000e+02 -1.383391282496532040e+04 -1.384001553925201188e+04
-1.384001553925199551e+04 1.681226049618228444e+02 -1.125000000000000583e-01 4.000000000000000000e+02 -1.376423708275662466e+04 -1.377034229704331665e+04
-1.377034229704331665e+04 1.468826786005865870e+02 -1.150000000000000605e-01 4.000000000000000000e+02 -1.358027546097512277e+04 -1.358638317526181345e+04
-1.358638317526181345e+04 8.676607568595973419e+01 -1.175000000000000627e-01 4.000000000000000000e+02 -1.357253320436481226e+04 -1.357864341865150345e+04
-1.357864298356868494e+04 7.036743170513011592e+01 -1.200000000000000649e-01 4.000000000000000000e+02 -1.354042098295964752e+04 -1.354653369724633922e+04
-1.354653369724633922e+04 1.786326280416686885e+01 -1.225000000000000672e-01 4.000000000000000000e+02 -1.346496687256562836e+04 -1.347108208685232057e+04
-1.347108208685232057e+04 4.934681330329578230e+01 -1.250000000000000555e-01 4.000000000000000000e+02 -1.336299442553781410e+04 -1.336911213982450499e+04
-1.336911213982450499e+04 6.644319350978008742e+01 -1.275000000000000577e-01 4.000000000000000000e+02 -1.329995549719771770e+04 -1.330607571148440911e+04
-1.330607571148440911e+04 6.062392393923401102e+01 -1.300000000000000600e-01 4.000000000000000000e+02 -1.315596913208533806e+04 -1.316209184637202998e+04
-1.316209184637202998e+04 1.171821982905061503e+02 -1.325000000000000622e-01 4.000000000000000000e+02 -1.307218852011676972e+04 -1.307831373440346033e+04
-1.307831373440346033e+04 1.414879197756680753e+02 -1.350000000000000644e-01 4.000000000000000000e+02 -1.305659196831874033e+04 -1.306271968260543144e+04
-1.306271968243654737e+04 2.706150170250290898e+01 -1.375000000000000666e-01 4.000000000000000000e+02 -1.304090286291845223e+04 -1.304703307720514385e+04
-1.304703307705118823e+04 1.374907501202286930e+01 -1.400000000000000688e-01 4.000000000000000000e+02 -1.301683550571873820e+04 -1.302296822000543034e+04
-1.302296822000539578e+04 1.356846613386041334e+01 -1.425000000000000711e-01 4.000000000000000000e+02 -1.288563347115347824e+04 -1.289176868544016907e+04
-1.289176868544016907e+04 6.791386244420320395e+01 -1.450000000000000733e-01 4.000000000000000000e+02 -1.287125638453805186e+04 -1.287739409882474320e+04
-1.287739409825300572e+04 6.585344527435843531e+01 -1.475000000000000755e-01 4.000000000000000000e+02 -1.281596085006259636e+04 -1.282210106434928821e+04
-1.282210106434928821e+04 6.216676016330431764e+01 -1.500000000000000777e-01 4.000000000000000000e+02 -1.276841818212142061e+04 -1.277456089640811115e+04
