logz logzerr logvol nlive logl logwt
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -2.156982354330535964e+04 -2.157581625759205053e+04
-2.157581625759205053e+04 nan -2.500000000000000052e-03 4.000000000000000000e+02 -2.129850818667290150e+04 -2.130450340095959109e+04
-2.130450340095959109e+04 nan -5.000000000000000104e-03 4.000000000000000000e+02 -1.869327158415799568e+04 -1.869926929844468759e+04
-1.869926929844468759e+04 1.169900823454341662e+03 -7.499999999999999722e-03 4.000000000000000000e+02 -1.772860591116737487e+04 -1.773460612545406548e+04
-1.773460612545406548e+04 4.546423737309161766e+02 -1.000000000000000021e-02 4.000000000000000000e+02 -1.720310519834318620e+04 -1.720910791262987914e+04
-1.720910791262987914e+04 6.079409504823663610e+02 -1.250000000000000069e-02 4.000000000000000000e+02 -1.589404986956830908e+04 -1.590005508385500070e+04
-1.590005508385500070e+04 9.978199878868474570e+02 -1.500000000000000118e-02 4.000000000000000000e+02 -1.447324920675314934e+04 -1.447925692103984147e+04
-1.447925692103984147e+04 5.297175517188428557e+02 -1.750000000000000167e-02 4.000000000000000000e+02 -1.360329268779734957e+04 -1.360930290208404040e+04
-1.360930290208404040e+04 6.775146803178078017e+02 -2.000000000000000042e-02 4.000000000000000000e+02 -1.334943174722065669e+04 -1.335544446150734802e+04
-1.335544446150734802e+04 3.794044370708346605e+02 -2.249999999999999917e-02 4.000000000000000000e+02 -1.329808737064175875e+04 -1.330410258492845060e+04
-1.330410258492845060e+04 3.235318553550055185e+02 -2.499999999999999792e-02 4.000000000000000000e+02 -1.324477006185414939e+04 -1.325078777614083992e+04
-1.325078777614083992e+04 9.879007480594461299e+01 -2.749999999999999667e-02 4.000000000000000000e+02 -1.309450202151759731e+04 -1.310052223580428836e+04
-1.310052223580428836e+04 8.752511570205980718e+01 -2.999999999999999542e-02 4.000000000000000000e+02 -1.276890708218970940e+04 -1.277492979647640095e+04
-1.277492979647640095e+04 8.986059511834638158e+01 -3.249999999999999417e-02 4.000000000000000000e+02 -1.267769193398588686e+04 -1.268371714827257892e+04
-1.268371714827257892e+04 3.426826312555704845e+01 -3.499999999999999639e-02 4.000000000000000000e+02 -1.263639119396874412e+04 -1.264241890825543487e+04
-1.264241890825543487e+04 3.791616483252671088e+01 -3.749999999999999861e-02 4.000000000000000000e+02 -1.231484445344904452e+04 -1.232087466773573578e+04
-1.232087466773573578e+04 1.568121731789740352e+02 -4.000000000000000083e-02 4.000000000000000000e+02 -1.188807269229251506e+04 -1.189410540657920683e+04
-1.189410540657920683e+04 2.521154417785150486e+02 -4.250000000000000305e-02 4.000000000000000000e+02 -1.188195721257446894e+04 -1.188799242686115940e+04
-1.188799021536427608e+04 2.303202050636842273e+02 -4.500000000000000527e-02 4.000000000000000000e+02 -1.169700866761346151e+04 -1.170304638190015248e+04
-1.170304638190015248e+04 9.343668353912399027e+01 -4.750000000000000749e-02 4.000000000000000000e+02 -1.116276334427132679e+04 -1.116880355855801827e+04
-1.116880355855801827e+04 3.245520175231575877e+02 -5.000000000000000971e-02 4.000000000000000000e+02 -1.101385586241452984e+04 -1.101989857670122183e+04
-1.101989857670122183e+04 2.416829796576548119e+02 -5.250000000000001193e-02 4.000000000000000000e+02 -1.098938785152351920e+04 -1.099543306581020988e+04
-1.099543306581018624e+04 2.464836736453964647e+02 -5.500000000000001416e-02 4.000000000000000000e+02 -1.094744599600120637e+04 -1.095349371028789756e+04
-1.095349371028789756e+04 2.623065609046165747e+01 -5.750000000000001638e-02 4.000000000000000000e+02 -1.085723035000973141e+04 -1.086328056429642311e+04
-1.086328056429642311e+04 5.419273932821339912e+01 -6.000000000000001860e-02 4.000000000000000000e+02 -1.069179945570706332e+04 -1.069785216999375552e+04
-1.069785216999375552e+04 1.027461794985607355e+02 -6.250000000000001388e-02 4.000000000000000000e+02 -1.067963717859949429e+04 -1.068569239288618519e+04
-1.068569238764928014e+04 9.122154348246203881e+01 -6.500000000000001610e-02 4.000000000000000000e+02 -1.063130596444660296e+04 -1.063736367873329436e+04
-1.063736367873329436e+04 9.401354933552242699e+01 -6.750000000000001832e-02 4.000000000000000000e+02 -1.057759663017620187e+04 -1.058365684446289379e+04
-1.058365684446289379e+04 3.961386199293614396e+01 -7.000000000000002054e-02 4.000000000000000000e+02 -1.047308839752172753e+04 -1.047915111180841814e+04
-1.047915111180841814e+04 6.979282747740631976e+01 -7.250000000000002276e-02 4.000000000000000000e+02 -1.046486577493365075e+04 -1.047093098922034187e+04
-1.047093072007450064e+04 4.822283708964478421e+01 -7.500000000000002498e-02 4.000000000000000000e+02 -1.033984384509765187e+04 -1.034591155938434349e+04
-1.034591155938434349e+04 7.533207659282341240e+01 -7.750000000000002720e-02 4.000000000000000000e+02 -1.027708454896388503e+04 -1.028315476325057716e+04
-1.028315476325057716e+04 6.446923019561195645e+01 -8.000000000000002942e-02 4.000000000000000000e+02 -1.019821615699007998e+04 -1.020428887127677081e+04
-1.020428887127677081e+04 8.259057737368301844e+01 -8.250000000000003164e-02 4.000000000000000000e+02 -1.017121736909952597e+04 -1.017729258338621730e+04
-1.017729258338621548e+04 4.952954172606062855e+01 -8.500000000000003386e-02 4.000000000000000000e+02 -1.011213589138618045e+04 -1.011821360567287229e+04
-1.011821360567287229e+04 6.413208385384743337e+01 -8.750000000000003608e-02 4.000000000000000000e+02 -1.002717921834214758e+04 -1.003325943262883811e+04
-1.003325943262883811e+04 5.780786640933494169e+01 -9.000000000000003830e-02 4.000000000000000000e+02 -9.980078470916221704e+03 -9.986161185202912748e+03
-9.986161185202912748e+03 3.819961105519762867e+01 -9.250000000000004052e-02 4.000000000000000000e+02 -9.964927546630686265e+03 -9.971012760917377818e+03
-9.971012760653669829e+03 1.702583788850997593e+01 -9.500000000000004274e-02 4.000000000000000000e+02 -9.930045860372998504e+03 -9.936133574659690566e+03
-9.936133574659690566e+03 3.031857096269828844e+01 -9.750000000000004496e-02 4.000000000000000000e+02 -9.775851427436913582e+03 -9.781941641723604334e+03
-9.781941641723604334e+03 9.271677983692035241e+01 -1.000000000000000472e-01 4.000000000000000000e+02 -9.765426615481912449e+03 -9.771519329768603711e+03
-9.771519300008052596e+03 4.455106262912625681e+01 -1.025000000000000494e-01 4.000000000000000000e+02 -9.713915689496310733e+03 -9.720010903783002504e+03
-9.720010903783002504e+03 5.846386741321837377e+01 -1.050000000000000516e-01 4.000000000000000000e+02 -9.552684061593936349e+03 -9.558781775880626810e+03
-9.558781775880626810e+03 7.081155945552710307e+01 -1.075000000000000538e-01 4.000000000000000000e+02 -9.547376808058686947e+03 -9.553477022345377918e+03
-9.553472066722291856e+03 6.031483849495057825e+01 -1.100000000000000561e-01 4.000000000000000000e+02 -9.471150694569822008e+03 -9.477253408856513488e+03
-9.477253408856513488e+03 3.851695738475367392e+01 -1.125000000000000583e-01 4.000000000000000000e+02 -9.389365869716475572e+03 -9.395471084003167562e+03
-9.395471084003167562e+03 5.220426078707076556e+01 -1.150000000000000605e-01 4.000000000000000000e+02 -9.348745371893455740e+03 -9.354853086180146420e+03
-9.354853086180146420e+03 5.716897135649792716e+01 -1.175000000000000627e-01 4.000000000000000000e+02 -9.302134752454365298e+03 -9.308244966741056487e+03
-9.308244966741056487e+03 4.787990263702494786e+01 -1.200000000000000649e-01 4.000000000000000000e+02 -9.282241396918692772e+03 -9.288354111205384470e+03
-9.288354111203085267e+03 5.250937693791657779e+01 -1.225000000000000672e-01 4.000000000000000000e+02 -9.255397291228353424e+03 -9.261512505515045632e+03
-9.261512505515043813e+03 5.832268428021315998e+01 -1.250000000000000555e-01 4.000000000000000000e+02 -9.216250004370229362e+03 -9.222367718656920260e+03
-9.222367718656920260e+03 2.568824568207513082e+01 -1.275000000000000577e-01 4.000000000000000000e+02 -9.098053349559315393e+03 -9.104173563846006800e+03
-9.104173563846006800e+03 7.403989872348236645e+01 -1.300000000000000600e-01 4.000000000000000000e+02 -9.026474842900108342e+03 -9.032597557186800259e+03
-9.032597557186800259e+03 8.635611179171276319e+01 -1.325000000000000622e-01 4.000000000000000000e+02 -8.984924935662242206e+03 -8.991050149948932813e+03
-8.991050149948932813e+03 7.206406044108670983e+01 -1.350000000000000644e-01 4.000000000000000000e+02 -8.980853945817556450e+03 -8.986981660104247567e+03
-8.986964701519862501e+03 6.473646503851291811e+01 -1.375000000000000666e-01 4.000000000000000000e+02 -8.835522307943083433e+03 -8.841652522229775059e+03
-8.841652522229775059e+03 6.335578883861360566e+01 -1.400000000000000688e-01 4.000000000000000000e+02 -8.835424018392552171e+03 -8.841556732679244305e+03
-8.840910333757434273e+03 3.999692913332068400e+01 -1.425000000000000711e-01 4.000000000000000000e+02 -8.806450589565733026e+03 -8.812585803852423851e+03
-8.812585803852423851e+03 4.695929476930966473e+01 -1.450000000000000733e-01 4.000000000000000000e+02 -8.793560560632793567e+03 -8.799698274919484902e+03
-8.799698272390089187e+03 1.626450027032175072e+01 -1.475000000000000755e-01 4.000000000000000000e+02 -8.760996593613066580e+03 -8.767136807899758423e+03
-8.767136807899758423e+03 8.984881509927124199e+00 -1.500000000000000777e-01 4.000000000000000000e+02 -8.671448360801869057e+03 -8.677591075088559592e+03
-8.677591075088559592e+03 4.244995037324296305e+01 -1.525000000000000799e-01 4.000000000000000000e+02 -8.655466261762050635e+03 -8.661611476048741679e+03
-8.661611475933887050e+03 2.901514974748100428e+01 -1.550000000000000822e-01 4.000000000000000000e+02 -8.560928752563868329e+03 -8.567076466850559882e+03
-8.567076466850559882e+03 6.398128493901299407e+01 -1.575000000000000844e-01 4.000000000000000000e+02 -8.536201011052589820e+03 -8.542351225339281882e+03
-8.542351225339263692e+03 7.081351405349904837e+01 -1.600000000000000866e-01 4.000000000000000000e+02 -8.535803752296491439e+03 -8.541956466583182191e+03
-8.541441344653729175e+03 7.430069776325665032e+01 -1.625000000000000888e-01 4.000000000000000000e+02 -8.464730212771482911e+03 -8.470885427058174173e+03
-8.470885427058174173e+03 5.582895267303011622e+01 -1.650000000000000910e-01 4.000000000000000000e+02 -8.327678359531915703e+03 -8.333836073818607474e+03
-8.333836073818607474e+03 1.002039871439304477e+02 -1.675000000000000933e-01 4.000000000000000000e+02 -8.285297234332718290e+03 -8.291457448619408751e+03
-8.291457448619408751e+03 1.205225391794726875e+02 -1.700000000000000955e-01 4.000000000000000000e+02 -8.282826770054052758e+03 -8.288989484340743729e+03
-8.288908128134005892e+03 1.241453377771271782e+01 -1.725000000000000977e-01 4.000000000000000000e+02 -8.217799377922023268e+03 -8.223964592208714748e+03
-8.223964592208714748e+03 3.774986388848474661e+01 -1.750000000000000999e-01 4.000000000000000000e+02 -8.170784545033911854e+03 -8.176952259320602934e+03
-8.176952259320602934e+03 5.897231124356548548e+01 -1.775000000000001021e-01 4.000000000000000000e+02 -8.139620270623079705e+03 -8.145790484909771294e+03
-8.145790484909771294e+03 3.852622014982789267e+01 -1.800000000000001044e-01 4.000000000000000000e+02 -8.099990820564863498e+03 -8.106163534851554687e+03
-8.106163534851554687e+03 5.057672781255429584e+01 -1.825000000000001066e-01 4.000000000000000000e+02 -8.093910267279591608e+03 -8.100085481566283306e+03
-8.100083191554943369e+03 2.970132400793569261e+01 -1.850000000000001088e-01 4.000000000000000000e+02 -8.067779772825365399e+03 -8.073957487112056697e+03
-8.073957487112052149e+03 3.243128298827303979e+01 -1.875000000000001110e-01 4.000000000000000000e+02 -8.058526965484871653e+03 -8.064707179771562551e+03
-8.064707083694060202e+03 3.640584385028949299e+01 -1.900000000000001132e-01 4.000000000000000000e+02 -8.018528864117032754e+03 -8.024711578403724161e+03
-8.024711578403724161e+03 4.354764102594672437e+01 -1.925000000000001155e-01 4.000000000000000000e+02 -7.988978424633213763e+03 -7.995163638919904770e+03
-7.995163638919904770e+03 2.037618733824701067e+01 -1.950000000000001177e-01 4.000000000000000000e+02 -7.940669063509621083e+03 -7.946856777796312599e+03
-7.946856777796312599e+03 3.424852982920119615e+01 -1.975000000000001199e-01 4.000000000000000000e+02 -7.932133889215300769e+03 -7.938324103501991885e+03
-7.938323906593756874e+03 2.412284463673696422e+01 -2.000000000000001221e-01 4.000000000000000000e+02 -7.915353148245911143e+03 -7.921545862532602769e+03
-7.921545862480915275e+03 2.087846256188814920e+01 -2.025000000000001243e-01 4.000000000000000000e+02 -7.909718352805946779e+03 -7.915913567092638004e+03
-7.915909993139224753e+03 9.367555828497943438e+00 -2.050000000000001266e-01 4.000000000000000000e+02 -7.892893184694381489e+03 -7.899090898981073224e+03
-7.899090898931463926e+03 1.404481616728919668e+01 -2.075000000000001288e-01 4.000000000000000000e+02 -7.862773808934421140e+03 -7.868974023221112475e+03
-7.868974023221112475e+03 1.901764875478464845e+01 -2.100000000000001310e-01 4.000000000000000000e+02 -7.815937591681307822e+03 -7.822140305967998756e+03
-7.822140305967998756e+03 3.385694997407937024e+01 -2.125000000000001332e-01 4.000000000000000000e+02 -7.809798971895984323e+03 -7.816004186182675767e+03
-7.816002025217815572e+03 3.724070411931933222e+01 -2.150000000000001354e-01 4.000000000000000000e+02 -7.800822610444849488e+03 -7.807030324731540532e+03
-7.807030197787470570e+03 3.346981268811307419e+00 -2.175000000000001377e-01 4.000000000000000000e+02 -7.743592696504984815e+03 -7.749802910791676368e+03
-7.749802910791676368e+03 2.928527557378509982e+01 -2.200000000000001399e-01 4.000000000000000000e+02 -7.729610468465978556e+03 -7.735823182752669709e+03
-7.735823181904112971e+03 2.937106308313055081e+01 -2.225000000000001421e-01 4.000000000000000000e+02 -7.696471999575657719e+03 -7.702687213862349381e+03
-7.702687213862349381e+03 3.776643034962577161e+01 -2.250000000000001443e-01 4.000000000000000000e+02 -7.621759171965539281e+03 -7.627976886252230543e+03
-7.627976886252230543e+03 5.837150595081484994e+01 -2.275000000000001465e-01 4.000000000000000000e+02 -7.610978261052639027e+03 -7.617198475339329889e+03
-7.617198454494849102e+03 3.636568726501729998e+01 -2.300000000000001488e-01 4.000000000000000000e+02 -7.609783711817082803e+03 -7.616006426103774174e+03
-7.615741292746180989e+03 5.208502133169330861e+00 -2.325000000000001510e-01 4.000000000000000000e+02 -7.588417945194983986e+03 -7.594643159481674957e+03
-7.594643159480987379e+03 1.210046901684799359e+01 -2.350000000000001532e-01 4.000000000000000000e+02 -7.574181025395911092e+03 -7.580408739682602572e+03
-7.580408739024838724e+03 1.105733379502117231e+01 -2.375000000000001554e-01 4.000000000000000000e+02 -7.561515869610608206e+03 -7.567746083897299286e+03
-7.567746080730080394e+03 1.508841203084598170e+01 -2.400000000000001577e-01 4.000000000000000000e+02 -7.494413900690224182e+03 -7.500646614976915771e+03
-7.500646614976915771e+03 3.912240806048315278e+01 -2.425000000000001599e-01 4.000000000000000000e+02 -7.424728694698846084e+03 -7.430963908985537273e+03
-7.430963908985537273e+03 5.734558601795646382e+01 -2.450000000000001621e-01 4.000000000000000000e+02 -7.400775034904167114e+03 -7.407012749190858813e+03
-7.407012749190818795e+03 4.039431116540628608e+01 -2.475000000000001643e-01 4.000000000000000000e+02 -7.378833138140507799e+03 -7.385073352427199097e+03
-7.385073352426902602e+03 1.040006270715741543e+01 -2.500000000000001665e-01 4.000000000000000000e+02 -7.374344062916859912e+03 -7.380586777203550810e+03
-7.380575580977971185e+03 6.788611128164424358e+00 -2.525000000000001688e-01 4.000000000000000000e+02 -7.319497776013986368e+03 -7.325742990300677775e+03
-7.325742990300677775e+03 3.023584285315472187e+01 -2.550000000000001710e-01 4.000000000000000000e+02 -7.288759281552276661e+03 -7.295006995838967669e+03
-7.295006995838967669e+03 4.188129604353974145e+01 -2.575000000000001732e-01 4.000000000000000000e+02 -7.262240173975410471e+03 -7.268490388262101987e+03
-7.268490388262099259e+03 3.070126024496714834e+01 -2.600000000000001754e-01 4.000000000000000000e+02 -7.246478555349515773e+03 -7.252731269636206889e+03
-7.252731269493020591e+03 3.361327627592736178e+01 -2.625000000000001776e-01 4.000000000000000000e+02 -7.184127358909461691e+03 -7.190382573196153317e+03
-7.190382573196153317e+03 5.492744403991713398e+01 -2.650000000000001799e-01 4.000000000000000000e+02 -7.177192573716207335e+03 -7.183450288002898560e+03
-7.183449312710152299e+03 3.381760378295737279e+00 -2.675000000000001821e-01 4.000000000000000000e+02 -7.176747230063899224e+03 -7.183007444350590958e+03
-7.182511021397410332e+03 2.485698772667971124e+00 -2.700000000000001843e-01 4.000000000000000000e+02 -7.144369347811425541e+03 -7.150632062098116876e+03
-7.150632062098116876e+03 1.554570064935908569e+01 -2.725000000000001865e-01 4.000000000000000000e+02 -7.132803649253954973e+03 -7.139068863540645907e+03
-7.139068854030993862e+03 1.544175178872156984e+01 -2.750000000000001887e-01 4.000000000000000000e+02 -7.132083018781944702e+03 -7.138350733068636146e+03
-7.137953523449082240e+03 3.691382816066325567e+00 -2.775000000000001910e-01 4.000000000000000000e+02 -7.103856418664988269e+03 -7.110126632951679312e+03
-7.110126632951678403e+03 1.534956298385363205e+01 -2.800000000000001932e-01 4.000000000000000000e+02 -7.103305413248730474e+03 -7.109578127535422027e+03
-7.109122087979799289e+03 8.464974953392554013e+00 -2.825000000000001954e-01 4.000000000000000000e+02 -7.084331602461814327e+03 -7.090606816748505480e+03
-7.090606816739407805e+03 1.376864346215633361e+01 -2.850000000000001976e-01 4.000000000000000000e+02 -7.078830749660295623e+03 -7.085108463946987285e+03
-7.085104378793852447e+03 8.695259105826190549e+00 -2.875000000000001998e-01 4.000000000000000000e+02 -7.057370602906647946e+03 -7.063650817193339208e+03
-7.063650817192857176e+03 1.117743888125359497e+01 -2.900000000000002021e-01 4.000000000000000000e+02 -7.044366344028184358e+03 -7.050649058314875219e+03
-7.050649056058520728e+03 4.527487770115993904e+00 -2.925000000000002043e-01 4.000000000000000000e+02 -7.042701320498951645e+03 -7.048986534785643016e+03
-7.048812867072508197e+03 3.934629021596006471e+00 -2.950000000000002065e-01 4.000000000000000000e+02 -7.037780315783553306e+03 -7.044068030070244276e+03
-7.044059371187409852e+03 3.755011803084784550e+00 -2.975000000000002087e-01 4.000000000000000000e+02 -7.026281276799362786e+03 -7.032571491086054266e+03
-7.032571480832490124e+03 6.362811830418807268e+00 -3.000000000000002109e-01 4.000000000000000000e+02 -7.008071726661865796e+03 -7.014364440948556876e+03
-7.014364440936175015e+03 1.141866837271788349e+01 -3.025000000000002132e-01 4.000000000000000000e+02 -6.991245173488749970e+03 -6.997540387775441559e+03
-6.997540387726077824e+03 1.559170539894846996e+01 -3.050000000000002154e-01 4.000000000000000000e+02 -6.962806917464807157e+03 -6.969104631751498346e+03
-6.969104631751498346e+03 1.569513117033093685e+01 -3.075000000000002176e-01 4.000000000000000000e+02 -6.959632906606584584e+03 -6.965933120893276282e+03
-6.965892036356258359e+03 8.161356239754884001e+00 -3.100000000000002198e-01 4.000000000000000000e+02 -6.957387332503708421e+03 -6.963690046790399720e+03
-6.963585161753161628e+03 1.989569984811866199e+00 -3.125000000000002220e-01 4.000000000000000000e+02 -6.956970326775995090e+03 -6.963275541062685988e+03
-6.962725268667237287e+03 1.844300932191009990e+00 -3.150000000000002243e-01 4.000000000000000000e+02 -6.921852109312297216e+03 -6.928159823598988623e+03
-6.928159823598988623e+03 1.634363822619830486e+01 -3.175000000000002265e-01 4.000000000000000000e+02 -6.870071026344821803e+03 -6.876381240631512810e+03
-6.876381240631512810e+03 3.438836982440311374e+01 -3.200000000000002287e-01 4.000000000000000000e+02 -6.831889157020092171e+03 -6.838201871306783687e+03
-6.838201871306783687e+03 1.680218412758960511e+01 -3.225000000000002309e-01 4.000000000000000000e+02 -6.808964859971406440e+03 -6.815280074258097557e+03
-6.815280074257986598e+03 1.097179638144588054e+01 -3.250000000000002331e-01 4.000000000000000000e+02 -6.789606189996548892e+03 -6.795923904283240518e+03
-6.795923904279316957e+03 1.507226419654638327e+01 -3.275000000000002354e-01 4.000000000000000000e+02 -6.780515896974327916e+03 -6.786836111261019141e+03
-6.786835998230142650e+03 1.180526920905414912e+01 -3.300000000000002376e-01 4.000000000000000000e+02 -6.770734129338055027e+03 -6.777056843624746762e+03
-6.777056787006707964e+03 8.010746156137715346e+00 -3.325000000000002398e-01 4.000000000000000000e+02 -6.746977395334270113e+03 -6.753302609620961448e+03
-6.753302609620913245e+03 1.777470958876356733e+01 -3.350000000000002420e-01 4.000000000000000000e+02 -6.740433914519128848e+03 -6.746761628805819782e+03
-6.746760186773630267e+03 1.764669618204800017e+01 -3.375000000000002442e-01 4.000000000000000000e+02 -6.732412680797754547e+03 -6.738742895084445991e+03
